ID,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
EC68985,0,16,24,27,2022,7,4,1800,0,0,0,2,19,24.76,0,0,5,1,0,0,1,3,0,1,-1,-1,0,0,0,-1,-1,1,5,24,5,5,6,-1,87,0,3,0,0,45,0,48000,1,0,36.0,2,0,0,2,11,0,1,1,0,0,0,0,0,0,0,0,27.0,0,1,2,2,0,0,2,4,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19024.76
EC14286,0,9,-1,3,2022,1,2,1200,0,0,0,2,3,60.06,5,1,6,1,1,9,0,3,0,1,-1,-1,0,4,0,-1,-1,0,7,-1,1,2,0,-1,24,4,-1,0,1,55,1,4900,0,0,42.0,1,0,0,2,6,0,0,6,0,0,0,0,0,0,0,0,63.0,1,5,2,2,0,0,1,11,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060.06
EC66882,0,0,62,15,2022,7,6,2100,0,0,0,2,4,0.94,1,0,7,1,1,5,8,3,2,1,-1,-1,0,0,0,-1,-1,0,5,63,0,6,6,1,66,8,-1,0,3,60,0,148000,1,0,58.0,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,32.0,0,1,2,0,0,0,2,5,0,0,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.94
EC14036,0,24,-1,21,2022,1,6,1600,0,2,0,2,3,296.94,5,1,6,1,0,4,0,3,2,3,-1,-1,0,0,5,-1,-1,0,7,-1,4,2,0,-1,22,10,-1,0,1,55,3,3100,0,0,53.0,2,0,0,2,12,0,1,1,0,0,0,0,0,5,0,0,73.0,0,1,2,2,0,0,2,5,0,0,0,0,0,4,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3296.94
EC26934,0,15,22,7,2022,3,2,1500,0,1,0,2,21,0.78,0,0,1,1,2,1,7,3,0,2,-1,-1,1,0,0,-1,-1,0,1,22,3,4,0,-1,60,0,-1,0,0,30,1,23000,0,0,24.0,2,0,0,2,1,0,1,1,0,0,0,0,0,5,0,0,51.0,1,1,2,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000.78
EC28964,0,8,79,16,2022,3,4,1700,0,0,0,2,11,9.88,0,0,6,1,1,0,7,3,2,1,-1,-1,0,0,0,-1,-1,0,5,81,0,4,84,4,48,10,1,10,0,60,1,90000,1,0,54.0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,54.0,1,1,2,0,0,0,1,4,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11009.88
EC34140,0,0,7,3,2022,4,1,1300,0,0,0,2,18,9.84,0,0,5,1,0,0,1,3,0,1,-1,-1,0,0,0,-1,-1,0,1,7,1,4,0,-1,48,0,-1,0,2,45,1,31000,0,0,51.0,1,0,3,2,3,0,0,1,0,0,0,0,0,0,0,1,,2,9,1,0,0,0,1,4,0,0,0,0,0,0,0,2,62.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18009.84
EC66699,0,0,2,21,2022,7,5,1200,0,0,0,2,12,7.26,0,0,1,4,1,0,5,3,2,1,-1,-1,0,0,0,-1,-1,0,5,2,0,5,32,-1,92,0,0,0,1,60,0,76000,1,0,28.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26.0,0,1,2,0,0,0,1,4,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12007.26
EC26501,0,0,7,4,2022,3,6,1700,0,0,0,2,18,4.79,0,0,6,1,2,4,5,3,2,1,-1,-1,1,0,0,-1,-1,0,5,7,5,4,16,2,48,10,-1,0,0,40,1,22000,1,0,31.0,1,0,0,0,4,0,0,1,0,0,0,0,0,5,0,0,22.0,0,1,2,0,1,0,2,5,0,0,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18004.79
EC12732,0,0,93,10,2022,1,2,1200,0,0,0,2,103,7.69,0,0,3,2,2,4,4,1,0,1,-1,-1,1,0,0,-1,-1,0,3,97,2,2,0,-1,32,0,-1,0,0,35,1,13000,0,1,56.0,2,0,0,0,6,0,0,3,0,0,0,0,0,4,1,0,62.0,0,1,2,2,1,0,2,1,0,0,0,0,0,1,1,1,20.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103007.69
